state,county,Stname,ctyname,CENSUS2010POP
01,001,Alabama,Autauga County,54571
01,003,Alabama,Baldwin County,182265
01,005,Alabama,Barbour County,27457
01,007,Alabama,Bibb County,22915
01,009,Alabama,Blount County,57322
01,011,Alabama,Bullock County,10914
01,013,Alabama,Butler County,20947
01,015,Alabama,Calhoun County,118572
01,017,Alabama,Chambers County,34215
01,019,Alabama,Cherokee County,25989
01,021,Alabama,Chilton County,43643
01,023,Alabama,Choctaw County,13859
01,025,Alabama,Clarke County,25833
01,027,Alabama,Clay County,13932
01,029,Alabama,Cleburne County,14972
01,031,Alabama,Coffee County,49948
01,033,Alabama,Colbert County,54428
01,035,Alabama,Conecuh County,13228
01,037,Alabama,Coosa County,11539
01,039,Alabama,Covington County,37765
01,041,Alabama,Crenshaw County,13906
01,043,Alabama,Cullman County,80406
01,045,Alabama,Dale County,50251
01,047,Alabama,Dallas County,43820
01,049,Alabama,DeKalb County,71109
01,051,Alabama,Elmore County,79303
01,053,Alabama,Escambia County,38319
01,055,Alabama,Etowah County,104430
01,057,Alabama,Fayette County,17241
01,059,Alabama,Franklin County,31704
01,061,Alabama,Geneva County,26790
01,063,Alabama,Greene County,9045
01,065,Alabama,Hale County,15760
01,067,Alabama,Henry County,17302
01,069,Alabama,Houston County,101547
01,071,Alabama,Jackson County,53227
01,073,Alabama,Jefferson County,658466
01,075,Alabama,Lamar County,14564
01,077,Alabama,Lauderdale County,92709
01,079,Alabama,Lawrence County,34339
01,081,Alabama,Lee County,140247
01,083,Alabama,Limestone County,82782
01,085,Alabama,Lowndes County,11299
01,087,Alabama,Macon County,21452
01,089,Alabama,Madison County,334811
01,091,Alabama,Marengo County,21027
01,093,Alabama,Marion County,30776
01,095,Alabama,Marshall County,93019
01,097,Alabama,Mobile County,412992
01,099,Alabama,Monroe County,23068
01,101,Alabama,Montgomery County,229363
01,103,Alabama,Morgan County,119490
01,105,Alabama,Perry County,10591
01,107,Alabama,Pickens County,19746
01,109,Alabama,Pike County,32899
01,111,Alabama,Randolph County,22913
01,113,Alabama,Russell County,52947
01,115,Alabama,St. Clair County,83593
01,117,Alabama,Shelby County,195085
01,119,Alabama,Sumter County,13763
01,121,Alabama,Talladega County,82291
01,123,Alabama,Tallapoosa County,41616
01,125,Alabama,Tuscaloosa County,194656
01,127,Alabama,Walker County,67023
01,129,Alabama,Washington County,17581
01,131,Alabama,Wilcox County,11670
01,133,Alabama,Winston County,24484
02,013,Alaska,Aleutians East Borough,3141
02,016,Alaska,Aleutians West Census Area,5561
02,020,Alaska,Anchorage Municipality,291826
02,050,Alaska,Bethel Census Area,17013
02,060,Alaska,Bristol Bay Borough,997
02,068,Alaska,Denali Borough,1826
02,070,Alaska,Dillingham Census Area,4847
02,090,Alaska,Fairbanks North Star Borough,97581
02,100,Alaska,Haines Borough,2508
02,105,Alaska,Hoonah-Angoon Census Area,2150
02,110,Alaska,Juneau City and Borough,31275
02,122,Alaska,Kenai Peninsula Borough,55400
02,130,Alaska,Ketchikan Gateway Borough,13477
02,150,Alaska,Kodiak Island Borough,13592
02,164,Alaska,Lake and Peninsula Borough,1631
02,170,Alaska,Matanuska-Susitna Borough,88995
02,180,Alaska,Nome Census Area,9492
02,185,Alaska,North Slope Borough,9430
02,188,Alaska,Northwest Arctic Borough,7523
02,195,Alaska,Petersburg Census Area,3815
02,198,Alaska,Prince of Wales-Hyder Census Area,5559
02,220,Alaska,Sitka City and Borough,8881
02,230,Alaska,Skagway Municipality,968
02,240,Alaska,Southeast Fairbanks Census Area,7029
02,261,Alaska,Valdez-Cordova Census Area,9636
02,270,Alaska,Wade Hampton Census Area,7459
02,275,Alaska,Wrangell City and Borough,2369
02,282,Alaska,Yakutat City and Borough,662
02,290,Alaska,Yukon-Koyukuk Census Area,5588
04,001,Arizona,Apache County,71518
04,003,Arizona,Cochise County,131346
04,005,Arizona,Coconino County,134421
04,007,Arizona,Gila County,53597
04,009,Arizona,Graham County,37220
04,011,Arizona,Greenlee County,8437
04,012,Arizona,La Paz County,20489
04,013,Arizona,Maricopa County,3817117
04,015,Arizona,Mohave County,200186
04,017,Arizona,Navajo County,107449
04,019,Arizona,Pima County,980263
04,021,Arizona,Pinal County,375770
04,023,Arizona,Santa Cruz County,47420
04,025,Arizona,Yavapai County,211033
04,027,Arizona,Yuma County,195751
05,001,Arkansas,Arkansas County,19019
05,003,Arkansas,Ashley County,21853
05,005,Arkansas,Baxter County,41513
05,007,Arkansas,Benton County,221339
05,009,Arkansas,Boone County,36903
05,011,Arkansas,Bradley County,11508
05,013,Arkansas,Calhoun County,5368
05,015,Arkansas,Carroll County,27446
05,017,Arkansas,Chicot County,11800
05,019,Arkansas,Clark County,22995
05,021,Arkansas,Clay County,16083
05,023,Arkansas,Cleburne County,25970
05,025,Arkansas,Cleveland County,8689
05,027,Arkansas,Columbia County,24552
05,029,Arkansas,Conway County,21273
05,031,Arkansas,Craighead County,96443
05,033,Arkansas,Crawford County,61948
05,035,Arkansas,Crittenden County,50902
05,037,Arkansas,Cross County,17870
05,039,Arkansas,Dallas County,8116
05,041,Arkansas,Desha County,13008
05,043,Arkansas,Drew County,18509
05,045,Arkansas,Faulkner County,113237
05,047,Arkansas,Franklin County,18125
05,049,Arkansas,Fulton County,12245
05,051,Arkansas,Garland County,96024
05,053,Arkansas,Grant County,17853
05,055,Arkansas,Greene County,42090
05,057,Arkansas,Hempstead County,22609
05,059,Arkansas,Hot Spring County,32923
05,061,Arkansas,Howard County,13789
05,063,Arkansas,Independence County,36647
05,065,Arkansas,Izard County,13696
05,067,Arkansas,Jackson County,17997
